SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15919,32934,25345,15983,32860,25406,16284,32748,26385,1
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15919,32934,25345,15983,32860,25406,16284,32748,26385,2
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15916,32935,25342,15983,32860,25406,16284,32748,26385,3
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15916,32935,25342,15983,32860,25406,16284,32748,26385,4
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15915,32980,25327,15983,32860,25406,16284,32748,26385,5
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15915,32983,25327,15983,32860,25406,16284,32748,26385,6
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15915,32983,25327,15983,32860,25406,16284,32748,26385,7
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15915,32983,25327,15983,32860,25406,16284,32748,26385,8
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15921,33010,25328,15983,32860,25406,16284,32748,26385,9
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15926,33020,25332,15983,32860,25406,16284,32748,26385,10
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15926,33020,25332,15983,32860,25406,16284,32748,26385,11
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15926,33020,25332,15983,32860,25406,16284,32748,26385,12
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15929,33041,25330,15983,32860,25406,16284,32748,26385,13
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15933,33056,25329,15983,32860,25406,16284,32748,26385,14
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15937,33080,25327,15983,32860,25406,16284,32748,26385,15
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15941,33105,25325,15983,32860,25406,16284,32748,26385,16
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15945,33137,25323,15983,32860,25406,16284,32748,26385,17
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15948,33168,25322,15983,32860,25406,16284,32748,26385,18
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15953,33206,25321,15983,32860,25406,16284,32748,26385,19
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15958,33247,25319,15983,32860,25406,16284,32748,26385,20
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15964,33295,25318,15983,32860,25406,16284,32748,26385,21
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15966,33333,25314,15983,32860,25406,16284,32748,26385,22
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15974,33382,25314,15983,32860,25406,16284,32748,26385,23
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15983,33436,25318,15983,32860,25406,16284,32748,26385,24
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15985,33475,25320,15983,32860,25406,16284,32748,26385,25
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15986,33511,25321,15983,32860,25406,16284,32748,26385,26
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15988,33550,25323,15983,32860,25406,16284,32748,26385,27
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15990,33582,25324,15983,32860,25406,16284,32748,26385,28
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15993,33649,25325,15983,32860,25406,16284,32748,26385,29
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15995,33683,25326,15983,32860,25406,16284,32748,26385,30
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15998,33737,25328,15983,32860,25406,16284,32748,26385,31
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,16001,33796,25329,15983,32860,25406,16284,32748,26385,32
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15998,33835,25328,15983,32860,25406,16284,32748,26385,33
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15997,33881,25327,15983,32860,25406,16284,32748,26385,34
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15992,33935,25325,15983,32860,25406,16284,32748,26385,35
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15982,34001,25317,15983,32860,25406,16284,32748,26385,36
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15975,34011,25311,15983,32860,25406,16284,32748,26385,37
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15973,34011,25309,15983,32860,25406,16284,32748,26385,38
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15965,34006,25302,15983,32860,25406,16284,32748,26385,39
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15955,33973,25288,15983,32860,25406,16284,32748,26385,40
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15951,33925,25281,15983,32860,25406,16284,32748,26385,41
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15945,33876,25271,15983,32860,25406,16284,32748,26385,42
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15944,33829,25268,15983,32860,25406,16284,32748,26385,43
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15943,33788,25265,15983,32860,25406,16284,32748,26385,44
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15942,33750,25262,15983,32860,25406,16284,32748,26385,45
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15940,33693,25256,15983,32860,25406,16284,32748,26385,46
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15940,33654,25253,15983,32860,25406,16284,32748,26385,47
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15938,33609,25247,15983,32860,25406,16284,32748,26385,48
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15936,33523,25233,15983,32860,25406,16284,32748,26385,49
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15935,33457,25216,15983,32860,25406,16284,32748,26385,50
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15935,33393,25198,15983,32860,25406,16284,32748,26385,51
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15931,33344,25193,15983,32860,25406,16284,32748,26385,52
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15922,33264,25195,15983,32860,25406,16284,32748,26385,53
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15912,33199,25212,15983,32860,25406,16284,32748,26385,54
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15906,33140,25221,15983,32860,25406,16284,32748,26385,55
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15895,33067,25225,15983,32860,25406,16284,32748,26385,56
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15887,33013,25245,15983,32860,25406,16284,32748,26385,57
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15882,32986,25252,15983,32860,25406,16284,32748,26385,58
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15882,32986,25252,15983,32860,25406,16284,32748,26385,59
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15917,33083,25297,15983,32860,25406,16284,32748,26385,60
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15937,33151,25312,15983,32860,25406,16284,32748,26385,61
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15956,33232,25320,15983,32860,25406,16284,32748,26385,62
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15965,33304,25317,15983,32860,25406,16284,32748,26385,63
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15971,33357,25315,15983,32860,25406,16284,32748,26385,64
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15978,33427,25314,15983,32860,25406,16284,32748,26385,65
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15982,33512,25317,15983,32860,25406,16284,32748,26385,66
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15985,33589,25320,15983,32860,25406,16284,32748,26385,67
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15988,33663,25323,15983,32860,25406,16284,32748,26385,68
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15992,33741,25325,15983,32860,25406,16284,32748,26385,69
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15991,33814,25324,15983,32860,25406,16284,32748,26385,70
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15995,33888,25326,15983,32860,25406,16284,32748,26385,71
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15996,33953,25327,15983,32860,25406,16284,32748,26385,72
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
SetRotation,-0.458302,0,-0.888797,0.178687,0.979582,-0.092139,0.87065,-0.201043,-0.448944,
EditCopy,15999,34020,25328,15983,32860,25406,16284,32748,26385,73
EndFrame,,,,,,,,,,
SetLocation,-956.389906,1087.72226,6347.015442,,,,,,,
